label,split,turn,metric,value
Transformer AdamW,validation,9,expert_kl,2.1167352623363995
Transformer AdamW,validation,9,family_kl,2.1558080195553906
Transformer AdamW,validation,9,value_mse,0.9215952005235116
Transformer AdamW,validation,9,value_family_mse,0.9143266725636002
Transformer AdamW,validation,18,expert_kl,1.5970490492139295
Transformer AdamW,validation,18,family_kl,1.628323133264753
Transformer AdamW,validation,18,value_mse,0.9216022512969859
Transformer AdamW,validation,18,value_family_mse,0.9143333874270683
Transformer AdamW,validation,27,expert_kl,1.4292906965623131
Transformer AdamW,validation,27,family_kl,1.4552629320619648
Transformer AdamW,validation,27,value_mse,0.9216015709236697
Transformer AdamW,validation,27,value_family_mse,0.9143328572126238
Transformer AdamW,validation,36,expert_kl,1.3676070635450537
Transformer AdamW,validation,36,family_kl,1.3939672670226697
Transformer AdamW,validation,36,value_mse,0.92160316656109
Transformer AdamW,validation,36,value_family_mse,0.9143343055165091
Transformer AdamW,validation,45,expert_kl,1.272954094758767
Transformer AdamW,validation,45,family_kl,1.2994294479792945
Transformer AdamW,validation,45,value_mse,0.921601797714775
Transformer AdamW,validation,45,value_family_mse,0.9143331027481719
Transformer AdamW,validation,54,expert_kl,1.2402478366720442
Transformer AdamW,validation,54,family_kl,1.2647701054933167
Transformer AdamW,validation,54,value_mse,0.9215787014705913
Transformer AdamW,validation,54,value_family_mse,0.9143107483378347
Transformer AdamW,validation,63,expert_kl,1.16150536548877
Transformer AdamW,validation,63,family_kl,1.1860942244729822
Transformer AdamW,validation,63,value_mse,0.8883279584381324
Transformer AdamW,validation,63,value_family_mse,0.8825506362267304
Transformer AdamW,validation,72,expert_kl,1.1233747501409992
Transformer AdamW,validation,72,family_kl,1.147323876746393
Transformer AdamW,validation,72,value_mse,0.6816976832122226
Transformer AdamW,validation,72,value_family_mse,0.6819354501135605
Transformer AdamW,validation,81,expert_kl,1.0920173483532114
Transformer AdamW,validation,81,family_kl,1.1172105857904548
Transformer AdamW,validation,81,value_mse,0.6108444646187732
Transformer AdamW,validation,81,value_family_mse,0.6106840196198987
Transformer AdamW,validation,90,expert_kl,1.0516449191275878
Transformer AdamW,validation,90,family_kl,1.0753118874377368
Transformer AdamW,validation,90,value_mse,0.5545662416806543
Transformer AdamW,validation,90,value_family_mse,0.55578590071684
Transformer AdamW,validation,99,expert_kl,0.9983444411296944
Transformer AdamW,validation,99,family_kl,1.0216664126144748
Transformer AdamW,validation,99,value_mse,0.5435126436689254
Transformer AdamW,validation,99,value_family_mse,0.5445612965119591
Transformer AdamW,validation,108,expert_kl,0.9657131537026826
Transformer AdamW,validation,108,family_kl,0.9889828128390126
Transformer AdamW,validation,108,value_mse,0.5422333737658676
Transformer AdamW,validation,108,value_family_mse,0.543563874179728
Transformer AdamW,training_probe,0,expert_kl,2.5193004423250467
Transformer AdamW,training_probe,0,family_kl,2.6285187857491628
Transformer AdamW,training_probe,0,value_mse,0.9784845889813557
Transformer AdamW,training_probe,0,value_family_mse,0.9698127867683531
Transformer AdamW,training_probe,9,expert_kl,2.0852057549936736
Transformer AdamW,training_probe,9,family_kl,2.183536166236514
Transformer AdamW,training_probe,9,value_mse,0.9253744564699123
Transformer AdamW,training_probe,9,value_family_mse,0.9127892085484096
Transformer AdamW,training_probe,18,expert_kl,1.5607026365642969
Transformer AdamW,training_probe,18,family_kl,1.6387656681121343
Transformer AdamW,training_probe,18,value_mse,0.9253821246197179
Transformer AdamW,training_probe,18,value_family_mse,0.9127962097289071
Transformer AdamW,training_probe,27,expert_kl,1.3996060751516475
Transformer AdamW,training_probe,27,family_kl,1.4646472628154448
Transformer AdamW,training_probe,27,value_mse,0.9253813796099026
Transformer AdamW,training_probe,27,value_family_mse,0.9127955361018105
Transformer AdamW,training_probe,36,expert_kl,1.340724133549951
Transformer AdamW,training_probe,36,family_kl,1.4071651034884982
Transformer AdamW,training_probe,36,value_mse,0.9253829786553598
Transformer AdamW,training_probe,36,value_family_mse,0.9127969590444414
Transformer AdamW,training_probe,45,expert_kl,1.2413335007000907
Transformer AdamW,training_probe,45,family_kl,1.3085675012497675
Transformer AdamW,training_probe,45,value_mse,0.9253816703454404
Transformer AdamW,training_probe,45,value_family_mse,0.9127957707359677
Transformer AdamW,training_probe,54,expert_kl,1.2041315627732918
Transformer AdamW,training_probe,54,family_kl,1.2629420265318854
Transformer AdamW,training_probe,54,value_mse,0.9253578663732951
Transformer AdamW,training_probe,54,value_family_mse,0.9127740557231601
Transformer AdamW,training_probe,63,expert_kl,1.1269350993966656
Transformer AdamW,training_probe,63,family_kl,1.1899428291926308
Transformer AdamW,training_probe,63,value_mse,0.8923192795166347
Transformer AdamW,training_probe,63,value_family_mse,0.8836152667091006
Transformer AdamW,training_probe,72,expert_kl,1.0909130389655397
Transformer AdamW,training_probe,72,family_kl,1.1493869357638888
Transformer AdamW,training_probe,72,value_mse,0.682829415357
Transformer AdamW,training_probe,72,value_family_mse,0.6924743349589999
Transformer AdamW,training_probe,81,expert_kl,1.0615391553900042
Transformer AdamW,training_probe,81,family_kl,1.1237844436887712
Transformer AdamW,training_probe,81,value_mse,0.6063380220011211
Transformer AdamW,training_probe,81,value_family_mse,0.6171236605871291
Transformer AdamW,training_probe,90,expert_kl,1.0232233369345773
Transformer AdamW,training_probe,90,family_kl,1.0800499083503845
Transformer AdamW,training_probe,90,value_mse,0.5593665432300485
Transformer AdamW,training_probe,90,value_family_mse,0.5666332509782579
Transformer AdamW,training_probe,99,expert_kl,0.9726411680939844
Transformer AdamW,training_probe,99,family_kl,1.0285704173738992
Transformer AdamW,training_probe,99,value_mse,0.5504025851331802
Transformer AdamW,training_probe,99,value_family_mse,0.5575889632815406
Transformer AdamW,training_probe,108,expert_kl,0.9419582477601733
Transformer AdamW,training_probe,108,family_kl,0.99671148875403
Transformer AdamW,training_probe,108,value_mse,0.5465284614100906
Transformer AdamW,training_probe,108,value_family_mse,0.5538313086070712
