arm,split,turn,learning_seconds,expert_kl,family_kl,value_mse,value_family_mse
transformer_mse,training_probe_history,45,3418.58208510009,1.2413335007000907,1.3085675012497675,0.9253816703454404,0.9127957707359677
transformer_mse,training_probe_history,54,4194.404796121089,1.2041315627732918,1.2629420265318854,0.9253578663732951,0.9127740557231601
transformer_mse,training_probe_history,63,4863.819392364065,1.1269350993966656,1.1899428291926308,0.8923192795166347,0.8836152667091006
transformer_mse,training_probe_history,72,5533.149342980061,1.0909130389655397,1.1493869357638888,0.682829415357,0.6924743349589999
transformer_mse,training_probe_history,81,6237.8480986530485,1.0615391553900042,1.1237844436887712,0.6063380220011211,0.6171236605871291
transformer_mse,training_probe_history,90,6907.755836197059,1.0232233369345773,1.0800499083503845,0.5593665432300485,0.5666332509782579
transformer_mse,training_probe_history,99,7541.488911979046,0.9726411680939844,1.0285704173738992,0.5504025851331802,0.5575889632815406
transformer_mse,training_probe_history,108,8175.380675567052,0.9419582477601733,0.99671148875403,0.5465284614100906,0.5538313086070712
transformer_ce,validation_history,0,0.0,2.574227773046123,2.6173902822268147,0.9869587257683423,0.9840257561523416
transformer_ce,validation_history,9,704.9610063649016,2.081377719030962,2.1209412600255186,0.6241675227490918,0.6344355129920117
transformer_ce,validation_history,18,1410.5347819419112,1.8106910817443267,1.8400437249704087,0.5716872388338428,0.5846371852157766
transformer_ce,validation_history,27,2080.731829548895,1.4771054541057747,1.5073146178499677,0.3270415783909288,0.33407930887878035
transformer_ce,validation_history,36,2715.2062354658847,1.438147342811733,1.4650091418222297,0.29843342342987983,0.3052253697491351
transformer_ce,validation_history,45,3420.9670865507214,1.2480252164494314,1.2747210563158484,0.22689812773929233,0.22701472593800737
transformer_ce,validation_history,54,4197.105705640744,1.2257657666472448,1.24988979724073,0.20319377921190934,0.20362044202932042
transformer_ce,validation_history,63,4866.700786818692,1.1474429238064827,1.1740351979549581,0.18009716016470606,0.18316646371255754
transformer_ce,validation_history,72,5535.978548878687,1.0752833722463673,1.0992350208334423,0.18197569848056114,0.1862696309318168
transformer_ce,validation_history,81,6240.930415683717,1.0230930367095747,1.0463273056040623,0.1658234599099986,0.17208866018553406
transformer_ce,validation_history,90,6910.660423782712,0.9914921422713738,1.0150221637466466,0.1533966798486837,0.16097199626551462
transformer_ce,validation_history,99,7545.061571541708,0.959663500965223,0.9833271114388209,0.1468926915033409,0.15372981974244374
transformer_ce,validation_history,108,8179.095682259649,0.9354199529777802,0.9587281361091935,0.1504064391551721,0.1592532297196658
transformer_ce,training_probe_history,0,0.0,2.5193004423250467,2.6285187857491628,0.9784845889813557,0.9698127867683531
transformer_ce,training_probe_history,9,704.9610063649016,2.0435233643800124,2.14343013460674,0.6140986529641069,0.6498454109070793
transformer_ce,training_probe_history,18,1410.5347819419112,1.7828382519002477,1.8567690773615761,0.5469763735764135,0.5922924185556079
transformer_ce,training_probe_history,27,2080.731829548895,1.4422738411862936,1.5192076062399242,0.30411332286606657,0.33787741263707477
transformer_ce,training_probe_history,36,2715.2062354658847,1.407601375120946,1.4782659137059775,0.2675160938473964,0.3022108853809417
transformer_ce,training_probe_history,45,3420.9670865507214,1.218533801785814,1.2844348786369202,0.22367634453931518,0.259060196815029
transformer_ce,training_probe_history,54,4197.105705640744,1.1929003762699328,1.2530269925556485,0.1775661622036369,0.20561738247199665
transformer_ce,training_probe_history,63,4866.700786818692,1.1173339943690341,1.1807684822688027,0.1812921972679191,0.21262941213827286
transformer_ce,training_probe_history,72,5535.978548878687,1.0471696241254675,1.1058681427486357,0.17133098511653008,0.1993127493631272
transformer_ce,training_probe_history,81,6240.930415683717,0.9951109548569117,1.0517599317762585,0.1397057454245279,0.16393787919410638
transformer_ce,training_probe_history,90,6910.660423782712,0.9647207325256311,1.020639237903413,0.13532736182396934,0.16062409855011436
transformer_ce,training_probe_history,99,7545.061571541708,0.934983502211916,0.9896039811391679,0.12134498110117929,0.14523673748656635
transformer_ce,training_probe_history,108,8179.095682259649,0.9094444203780028,0.9632156008765809,0.12461114837853463,0.14977809426463431
